0,26,25
1,27,25
2,28,25
3,29,25
4,30,25
5,31,25
6,32,25
7,33,25
8,34,25
9,35,25
10,36,25
11,37,25
12,38,25
13,39,25
14,40,25
15,41,25
16,42,25
17,43,25
18,44,25
6,26,25
7,27,25
8,28,25
9,29,25
10,30,25
11,31,25
13,32,25
14,33,25
15,34,25
16,35,25
17,36,25
18,37,25
19,38,25
20,39,25
21,40,25
22,41,25
23,42,25
24,43,25
25,44,25
0,1,30
1,2,30
2,3,30
3,4,30
4,5,30
6,7,30
7,8,30
8,9,30
9,10,30
10,11,30
12,13,30
13,14,30
14,15,30
15,16,30
16,17,30
17,18,30
19,20,30
20,21,30
21,22,30
22,23,30
23,24,30
24,25,30
26,0,25
27,1,25
28,2,25
29,3,25
30,4,25
31,5,25
32,6,25
33,7,25
34,8,25
35,9,25
36,10,25
37,11,25
38,12,25
39,13,25
40,14,25
41,15,25
42,16,25
43,17,25
44,18,25
26,6,25
27,7,25
28,8,25
29,9,25
30,10,25
31,11,25
32,13,25
33,14,25
34,15,25
35,16,25
36,17,25
37,18,25
38,19,25
39,20,25
40,21,25
41,22,25
42,23,25
43,24,25
44,25,25
1,0,10
2,1,10
3,2,10
4,3,10
5,4,10
7,6,10
8,7,10
9,8,10
10,9,10
11,10,10
13,12,10
14,13,10
15,14,10
16,15,10
17,16,10
18,17,10
20,19,10
21,20,10
22,21,10
23,22,10
24,23,10
25,24,10
